name,phone,URL,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
"부부상담클리닉, 서울라운지 청담",0507-1357-9614,http://seoullounge.co.kr,서울 강남구 학동로82길 15 1층,서울특별시 강남구 학동로82길 15 1층,정,서울특별시 강남구 학동로82길 15 (삼성동),127.05177290960602,37.51798227817973
가온누리아동심리상담센터,0507-1344-0330,https://kaonnuri13.modoo.at,서울 송파구 새말로 125 어은회관 502호,서울특별시 송파구 새말로 125 어은회관 502호,정,서울특별시 송파구 새말로 125 (문정동),127.12789163671479,37.4831025554438
마인드카페 심리상담센터 강남점,02-556-9811,https://center.mindcafe.co.kr,서울 강남구 영동대로96길 20 4층,서울특별시 강남구 영동대로96길 20 4층,정,서울특별시 강남구 영동대로96길 20 (삼성동),127.06421389267264,37.51077646870634
마인드원 심리상담센터 강남본사,0507-1409-3849,http://www.mindone2.kr,서울 강남구 테헤란로64길 18 세화빌딩 7층,서울특별시 강남구 테헤란로64길 18 세화빌딩 7층,정,서울특별시 강남구 테헤란로64길 18 (대치동),127.05120567465515,37.503767989971415
마음일랑 심리상담센터,0507-1369-6641,http://www.maumilrang.com/sub0402.php,서울 서초구 서운로 6 코날빌딩 6층 마음일랑심리상담센터,서울특별시 서초구 서운로 6 코날빌딩 6층 마음일랑심리상담센터,정,서울특별시 서초구 서운로 6 (서초동),127.02990280974879,37.48472384671457
마인드카페 심리상담센터 잠실점,02-6952-9560,https://center.mindcafe.co.kr,서울 송파구 올림픽로35가길 16 홈플러스 잠실점 4층,서울특별시 송파구 올림픽로35가길 16 홈플러스 잠실점 4층,정,서울특별시 송파구 올림픽로35가길 16 (신천동),127.10307899739232,37.51613678503209
마음치유클리닉 심리상담센터,02-2678-7119,https://blog.naver.com/mindhealing7,서울 구로구 경인로67길 23 신도림2차푸르지오 304호,서울특별시 구로구 경인로67길 23 신도림2차푸르지오 304호,정,서울특별시 구로구 경인로67길 23 (신도림동),126.8894821149412,37.51048174145066
마인드카페 심리상담센터 용산점,02-790-9811,http://center.mindcafe.co.kr,서울 용산구 장문로 23 지하1층 103호 MINDCAFE,서울특별시 용산구 장문로 23 지하1층 103호 MINDCAFE,정,서울특별시 용산구 장문로 23 (이태원동),126.99311460766623,37.52855444717915
마음닿음 심리상담센터 노원센터,010-3727-5245,https://blog.naver.com/shinymoonlight,서울 노원구 마들로 127,서울특별시 노원구 마들로 127,정,서울특별시 노원구 마들로 127 (월계동),127.0642729533311,37.626374989365196
온마음 심리상담센터 노원센터,0507-1399-1476,https://blog.naver.com/eun77krrr,서울 노원구 노원로 3 1층 102-1호,서울특별시 노원구 노원로 3 1층 102-1호,정,서울특별시 노원구 노원로 3 (공릉동),127.08664924150666,37.621957345464885
헬로스마일 심리상담센터 종로점,02-725-5412,http://www.hellosmile.kr/bbs/board.php?bo_table=b4,서울 종로구 새문안로 89 정우빌딩 603호,서울특별시 종로구 새문안로 89 정우빌딩 603호,정,서울특별시 종로구 새문안로 89 (신문로1가),126.97453024611566,37.5705044105768
마인드카페 심리상담센터 강서점,02-6952-9816,https://center.mindcafe.co.kr,서울 강서구 마곡중앙2로 5 메트로비즈타워 2층 201호,서울특별시 강서구 마곡중앙2로 5 메트로비즈타워 2층 201호,정,서울특별시 강서구 마곡중앙2로 5 (마곡동),126.82746449170403,37.558489179824186
노원심리상담센터 마음소풍,02-932-3533,,서울 노원구 노해로 501 5층 502호,서울특별시 노원구 노해로 501 5층 502호,정,서울특별시 노원구 노해로 501 (상계동),127.06351186061153,37.6552082844096
허그맘허그인심리상담센터 여의도센터,02-2135-7542,https://www.hugmom.co.kr/branch/main/main.html?jijummid=yeouido&src=viral&kw=000101,서울 영등포구 여의대방로 376 나라키움여의도빌딩 305~307호,서울특별시 영등포구 여의대방로 376 나라키움여의도빌딩 305~307호,정,서울특별시 영등포구 여의대방로 376 (여의도동),126.93129715366355,37.51824673473821
허그맘 허그인 심리상담센터 노원센터,02-930-0744,http://www.hugmom.co.kr/index.php?b_idx=center&b_type=center_1&ctList=3,서울 노원구 노해로 521 정일빌딩 6층,서울특별시 노원구 노해로 521 정일빌딩 6층,정,서울특별시 노원구 노해로 521 (상계동),127.06593914578106,37.655809007584566
프롬맘 아동심리상담센터,070-8849-8910,https://blog.naver.com/frommomblog,서울 강남구 남부순환로377길 4 (4층 프롬맘 아동심리상담센터),서울특별시 강남구 남부순환로377길 4 (4층 프롬맘 아동심리상담센터),정,서울특별시 강남구 남부순환로377길 4 (도곡동),127.04536168630618,37.48683524735711
마음닿음 심리상담센터,010-9341-4418,https://blog.naver.com/shinymoonlight,서울 마포구 마포대로 63-8 삼창프라자 1130호,서울특별시 마포구 마포대로 63-8 삼창프라자 1130호,정,서울특별시 마포구 마포대로 63-8 (도화동),126.94781510712752,37.542259806202196
서울라운지 심리상담센터,0507-1344-9612,https://blog.naver.com/seoulloungemind,서울 중구 세종대로 11 조광빌딩 4층 서울라운지,서울특별시 중구 세종대로 11 조광빌딩 4층 서울라운지,정,서울특별시 중구 세종대로 11 (남대문로5가),126.97308741309612,37.55817518068412
마음소리 심리상담센터,02-747-3513,http://maumsory.com/,서울 성북구 동소문로20나길 47 코아루센타시아 219호,서울특별시 성북구 동소문로20나길 47 코아루센타시아 219호,정,서울특별시 성북구 동소문로20나길 47 (동선동1가),127.0191138864462,37.593057019768295
허그맘허그인 심리상담센터 강남본점,02-568-6255,https://blog.naver.com/no1hugmom,서울 강남구 학동로 137-6 인의빌딩 302호,서울특별시 강남구 학동로 137-6 인의빌딩 302호,정,서울특별시 강남구 학동로 137-6 (논현동),127.02596981065771,37.51309449985578
목동행복한심리상담센터,0507-1400-0222,http://www.wehappy.or.kr/,서울 양천구 등촌로 202 2층,서울특별시 양천구 등촌로 202 2층,정,서울특별시 양천구 등촌로 202 (목동),126.86338690151307,37.54767171514377
헬로스마일 심리상담센터 관악점,0507-1364-5412,https://blog.naver.com/hell0smile,서울 관악구 남부순환로 1769,서울특별시 관악구 남부순환로 1769,정,서울특별시 관악구 남부순환로 1769 (봉천동),126.9469440689779,37.48213881629103
유해피 아동청소년성인 심리상담센터 송파잠실점,02-421-1070,https://www.you-happy.co.kr/sub/sub00_01.php?br_idx=11,서울 송파구 백제고분로 510 5층,서울특별시 송파구 백제고분로 510 5층,정,서울특별시 송파구 백제고분로 510 (방이동),127.11572650366219,37.51544079239981
밝은희망 부부상담클리닉 청담센터,1522-5499,http://www.brighthope.co.kr,서울 강남구 학동로 419 대륭빌딩 2층,서울특별시 강남구 학동로 419 대륭빌딩 2층,정,서울특별시 강남구 학동로 419 (청담동),127.04597655585964,37.518306118183
이해와공감심리상담센터,0507-1419-0207,https://blog.naver.com/20mind20/222989887243,서울 서초구 강남대로 224 양재동 한신휴플러스 2층 202호,서울특별시 서초구 강남대로 224 양재동 한신휴플러스 2층 202호,정,서울특별시 서초구 강남대로 224 (양재동),127.0351397210287,37.48401339866343
헬로스마일 심리상담센터 성수점,0507-1434-5412,https://blog.naver.com/sungsu211007,서울 성동구 아차산로 92 S타워 12층,서울특별시 성동구 아차산로 92 S타워 12층,정,서울특별시 성동구 아차산로 92 (성수동2가),127.05425042393051,37.544790566759524
허그맘허그인 심리상담센터 송파잠실문정점,0507-1316-0051,https://blog.naver.com/hugmom2022,서울 송파구 송파대로 111 파크하비오타워동 205동 308호,서울특별시 송파구 송파대로 111 파크하비오타워동 205동 308호,정,"서울특별시 송파구 송파대로 111, 205동 (문정동)",127.12268936148882,37.48149008623631
인사이드아웃심리상담센터 광화문점,0507-1443-0602,http://InsideOut.co.kr,서울 종로구 새문안로 103-1 3층 5층,서울특별시 종로구 새문안로 103-1 3층 5층,정,서울특별시 종로구 새문안로 103-1 (신문로1가),126.97617705543469,37.57047448471047
유해피 아동청소년성인 심리상담센터 목동점,02-2642-3533,https://www.you-happy.co.kr/sub/sub00_01.php?br_idx=3,서울 양천구 신목로 34,서울특별시 양천구 신목로 34,정,서울특별시 양천구 신목로 34 (신정동),126.87397915616545,37.51862493709539
허그맘허그인 심리상담센터 성북센터,02-6956-0204,https://blog.naver.com/hugmomsb0204,서울 성북구 종암로 167 동일하이빌뉴시티 상가동 401호 허그맘허그인 성북센터,서울특별시 성북구 종암로 167 동일하이빌뉴시티 상가동 401호 허그맘허그인 성북센터,정,서울특별시 성북구 종암로 167 (하월곡동),127.03092817223227,37.60503701904914
제나힐링심리상담센터,0507-1379-7102,https://blog.naver.com/zenatherapy,서울 관악구 남부순환로 1811 신원메트로빌 711호,서울특별시 관악구 남부순환로 1811 신원메트로빌 711호,정,서울특별시 관악구 남부순환로 1811 (봉천동),126.95150247754609,37.4817149710663
허그맘 허그인 심리상담센터 강동직영센터,0507-1415-0148,https://blog.naver.com/wjdgktp,서울 강동구 올림픽로 572 하늘채아파트상가 2층,서울특별시 강동구 올림픽로 572 하늘채아파트상가 2층,정,서울특별시 강동구 올림픽로 572 (성내동),127.12183205167625,37.53255726985421
심리상담센터 재희,010-6764-3422,https://blog.naver.com/jjh3422,서울 중랑구 사가정로50길 10 나비빌딩 3층,서울특별시 중랑구 사가정로50길 10 나비빌딩 3층,정,서울특별시 중랑구 사가정로50길 10 (면목동),127.08631767821171,37.580396063788804
허그맘허그인 심리상담센터 강서점,02-2088-3515,https://youtube.com/@hugmomks,서울 강서구 공항대로 247 퀸즈파크나인 c동 9층,서울특별시 강서구 공항대로 247 퀸즈파크나인 c동 9층,정,서울특별시 강서구 공항대로 247 (마곡동),126.83491103378454,37.55933031586384
심리상담센터 헤세드,0507-1474-1355,https://blog.naver.com/hesedtherapy,서울 노원구 한글비석로 384 대호프라자 225-1호,서울특별시 노원구 한글비석로 384 대호프라자 225-1호,정,서울특별시 노원구 한글비석로 384 (중계동),127.07323367612447,37.659837066371026
유해피 아동청소년성인 심리상담센터 송파잠실점,02-421-1070,https://www.you-happy.co.kr/sub/sub00_01.php?br_idx=11,서울 송파구 백제고분로 510 5층,서울특별시 송파구 백제고분로 510 5층,정,서울특별시 송파구 백제고분로 510 (방이동),127.11572650366219,37.51544079239981
허그맘허그인 심리상담센터 목동직영점,02-6092-6600,http://www.hugmom.co.kr/index.php?b_idx=center&b_type=center_1&ctList=4,서울 양천구 오목로 340 협성빌딩 A동 3층,서울특별시 양천구 오목로 340 협성빌딩 A동 3층,정,"서울특별시 양천구 오목로 340, A동 (목동)",126.87511208104205,37.52426777623261
허그맘허그인심리상담센터 마포점,02-2138-6255,http://www.hugmom.co.kr/index.php?b_idx=center&b_type=center_1&ctList=34,서울 마포구 백범로 130 뉴한일빌딩 4층,서울특별시 마포구 백범로 130 뉴한일빌딩 4층,정,서울특별시 마포구 백범로 130 (염리동),126.94519518748558,37.54619827669924
엠브레스마인드심리상담센터 은평직영점,0507-1362-9280,http://www.em-mind.com/bbs/page.php?hid=s0113,서울 은평구 은평로 170 상현빌딩,서울특별시 은평구 은평로 170 상현빌딩,정,서울특별시 은평구 은평로 170 (응암동),126.92664479747806,37.60109976949264
해피팝 심리상담센터,0507-1392-9942,https://blog.naver.com/hyearan2,서울 성동구 왕십리로 92 3층,서울특별시 성동구 왕십리로 92 3층,정,서울특별시 성동구 왕십리로 92 (성수동1가),127.04498423205622,37.54571738067156
가족심리상담센터,0507-1371-2396,https://pf.kakao.com/_mCCcxj,서울 강서구 강서로45라길 35 2층,서울특별시 강서구 강서로45라길 35 2층,정,서울특별시 강서구 강서로45라길 35 (내발산동),126.83412747136467,37.549463087874464
서울마인드브릿지심리상담센터,02-332-5112,https://seoulmindbridge.com/,서울 마포구 동교로23길 58 3층 서울마인드브릿지 심리상담센터,서울특별시 마포구 동교로23길 58 3층 서울마인드브릿지 심리상담센터,정,서울특별시 마포구 동교로23길 58 (연남동),126.91924149412544,37.558308246238596
나다운심리상담센터,0507-1335-7198,https://blog.naver.com/nadawundesign,서울 마포구 동교로19길 21,서울특별시 마포구 동교로19길 21,정,서울특별시 마포구 동교로19길 21 (서교동),126.91745889170288,37.55630270925034
온마음으로 심리상담센터,0507-1333-1745,https://blog.naver.com/woolash6,서울 광진구 능동로 69 호반써밋 자양아파트 B105-1호,서울특별시 광진구 능동로 69 호반써밋 자양아파트 B105-1호,정,서울특별시 광진구 능동로 69 (자양동),127.06885244414174,37.53719091357576
마음iN심리상담센터 여의도점,0507-1493-3030,https://mauminyeouido.modoo.at/,서울 영등포구 여의나루로 42 5층 510호,서울특별시 영등포구 여의나루로 42 5층 510호,정,서울특별시 영등포구 여의나루로 42 (여의도동),126.92502149695989,37.52136424756507
강남 최면심리상담센터 지안,0507-1442-1110,https://litt.ly/mindful_jun,서울 서초구 강남대로 305 2층 203호,서울특별시 서초구 강남대로 305 2층 203호,정,서울특별시 서초구 강남대로 305 (서초동),127.03063555809041,37.49018955399421
헬로스마일 심리상담센터 강남점,02-511-5412,http://www.hellosmile.kr/bbs/board.php?bo_table=b1,서울 강남구 논현로131길 30 성도빌딩,서울특별시 강남구 논현로131길 30 성도빌딩,정,서울특별시 강남구 논현로131길 30 (논현동),127.0278861333902,37.51417178449062
소담 마음행복연구소 심리상담센터,02-6326-7582,https://blog.naver.com/sodam6326,서울 동작구 장승배기로 119 301호,서울특별시 동작구 장승배기로 119 301호,정,서울특별시 동작구 장승배기로 119 (노량진동),126.93988686743202,37.50827800957024
마음iN 심리상담센터 광화문점,0507-1380-1510,http://mauminghm.modoo.at,서울 종로구 종로3길 34 8층,서울특별시 종로구 종로3길 34 8층,정,서울특별시 종로구 종로3길 34 (청진동),126.97948135774345,37.57187479118258
구로아동발달심리상담센터,0507-1492-7764,https://blog.naver.com/guro78,서울 구로구 경인로 237 우분투포레스트 지하 1층,서울특별시 구로구 경인로 237 우분투포레스트 지하 1층,정,서울특별시 구로구 경인로 237 (개봉동),126.84666727404687,37.49776139294377
안녕도담심리상담센터,0507-1463-7584,https://blog.naver.com/hiddclinic,서울 동대문구 전농로 24 계림빌딩 602호,서울특별시 동대문구 전농로 24 계림빌딩 602호,정,서울특별시 동대문구 전농로 24 (답십리동),127.05689855239258,37.56702678525103
허그맘허그인 심리상담센터 동대문구센터,0507-1465-3081,https://www.hugmom.co.kr/branch/main/main.html?jijummid=dongdaemun,서울 동대문구 답십리로 264,서울특별시 동대문구 답십리로 264,정,서울특별시 동대문구 답십리로 264 (장안동),127.06954025543322,37.5722204680508
헬로스마일심리상담센터 목동점,02-2647-5412,https://www.instagram.com/hellosmilemd,서울 양천구 목동동로 233 한국방송회관 12층 6호,서울특별시 양천구 목동동로 233 한국방송회관 12층 6호,정,서울특별시 양천구 목동동로 233 (목동),126.87141912064382,37.52700803593854
헬로스마일 심리상담센터 강동점,0507-1331-5412,https://blog.naver.com/hellosm5412,서울 강동구 양재대로 1619 3층,서울특별시 강동구 양재대로 1619 3층,정,서울특별시 강동구 양재대로 1619 (천호동),127.14350838294467,37.54997133661922
그루터기심리상담센터 마곡점,0507-1394-3456,https://blog.naver.com/nymphe,서울 강서구 마곡서로 158 센트럴타워2차 13층 1307호,서울특별시 강서구 마곡서로 158 센트럴타워2차 13층 1307호,정,서울특별시 강서구 마곡서로 158 (마곡동),126.82544509721276,37.56809248484749
마인드케어심리상담센터,0507-1321-8092,https://blog.naver.com/mindcare19,서울 마포구 마포대로 12 한신빌딩 416호,서울특별시 마포구 마포대로 12 한신빌딩 416호,정,서울특별시 마포구 마포대로 12 (마포동),126.94440354656881,37.53787631268867
화인 심리상담센터 서초,0507-1403-4569,http://fineclinic.kr/,서울 서초구 서초중앙로 99 3층,서울특별시 서초구 서초중앙로 99 3층,정,서울특별시 서초구 서초중앙로 99 (서초동),127.01392477653941,37.49063395771286
안녕마음 심리상담센터 신내점,010-2068-6775,https://blog.naver.com/shalommaum,서울 중랑구 신내역로3길 4 신내골드프라자 501호,서울특별시 중랑구 신내역로3길 4 신내골드프라자 501호,정,서울특별시 중랑구 신내역로3길 4 (신내동),127.1067070189675,37.619507819907575
진솔심리상담센터,0507-1368-5870,https://01026545870.modoo.at,"서울 양천구 목동동로 293 2205호(목동, 현대41타워)","서울특별시 양천구 목동동로 293 2205호(목동, 현대41타워)",정,서울특별시 양천구 목동동로 293 (목동),126.87575457785361,37.52817201867787
달과 바다 심리상담센터,0507-1350-4327,https://blog.naver.com/libera_kwak,서울 송파구 백제고분로 509 11층 1101호 달과 바다 심리상담센터,서울특별시 송파구 백제고분로 509 11층 1101호 달과 바다 심리상담센터,정,서울특별시 송파구 백제고분로 509 (방이동),127.11517170742721,37.51581946221236
